Address A,Port A,Address B,Port B,Packets,Bytes,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A,Target
60688,170.72.166.213,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4890.548864,0.3637819999994462,10819.666723493716,13986.398447443096,0.0,
50185,170.72.166.236,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4890.595992,0.3409180000007836,11545.298282845002,14924.409975385002,0.0,
58616,170.72.166.236,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4890.645923,0.3648329999996349,10788.497751036608,13946.10684890098,0.0,
64573,170.72.148.241,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4891.096224,0.4213680000002568,9341.00358830666,12074.955858054953,0.0,
60894,170.72.148.241,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4891.147702,0.4287379999996119,9180.431872154002,11867.387542052737,0.0,
50232,150.253.134.206,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4891.198259,0.4118490000000747,9556.900708753174,12354.04237960776,0.0,
53321,150.253.134.206,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4891.247392,0.4246499999999287,9268.809607913954,11981.631932181454,0.0,
64849,150.253.211.108,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4891.498526,0.2067639999995663,19036.1958561851,24607.765375068542,0.0,
65368,150.253.211.108,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4891.545975,0.219796999999744,17907.43276752906,23148.63260192781,0.0,
49788,150.253.211.145,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4891.604839,0.2247919999999794,17509.51991174223,22634.2574468863,0.0,
56244,150.253.211.145,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4891.646471,0.2129899999999907,18479.74083290376,23888.44546692437,0.0,
63992,170.72.4.206,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4892.0975,0.3100549999999202,12694.521939659133,16409.991775656927,0.0,
57053,170.72.4.206,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4892.146926,0.310034999999516,12695.340848633685,16411.050365306957,0.0,
51511,170.72.22.214,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4892.208569,0.3090219999994588,12736.957239312716,16464.847163013997,0.0,
60499,170.72.22.214,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4892.24628,0.3026749999999083,13004.047245399164,16810.109853808677,0.0,
51631,170.72.167.220,5004,12.0,1128.0,6.0,492.0,6.0,636.0,4892.50388,0.3680070000000341,10695.448727876466,13825.823965303724,0.0,
56145,170.72.167.220,9000,12.0,1128.0,6.0,492.0,6.0,636.0,4892.548688,0.3498950000002878,11249.089012408756,14541.505308723516,0.0,
