"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A",Target
"192.168.0.101",54152,"208.67.222.222",443,2,712,1,366,1,346,10.614562,0.11147400000000118,26266.2145433013,24830.902273175543,0
"192.168.0.101",64855,"208.67.222.222",443,2,584,1,302,1,282,10.92011,0.106993000000001,22580.916508556424,21085.49157421494,0
"192.168.0.101",51274,"208.67.222.222",443,2,584,1,366,1,218,11.29406,0.030281999999999698,96691.10362591736,57591.96882636607,0
"192.168.0.101",59384,"192.168.0.1",53,2,214,1,83,1,131,11.304038,0.287191,2312.0501687030583,3649.139422892779,0
"192.168.0.101",49997,"208.67.222.222",443,2,665,1,302,1,363,11.555229,0.10997899999999916,21967.830222133485,26405.040962365743,0
"192.168.0.101",60716,"208.67.222.222",443,2,584,1,366,1,218,11.968901,0.10914099999999927,26827.68162285502,15979.329491208728,0
"192.168.0.101",60717,"208.67.222.222",443,2,648,1,366,1,282,13.029602,0.03708999999999918,78943.11135077015,60825.02022108519,0
"192.168.0.101",50501,"208.67.222.222",443,2,776,1,430,1,346,13.682324,0.11265900000000073,30534.622178432062,24569.719241249986,0
"192.168.0.101",62947,"208.67.222.222",443,2,712,1,430,1,282,14.098604,0.10674299999999981,32226.937597781645,21134.875354824242,0
"192.168.0.101",59418,"208.67.222.222",443,2,743,1,366,1,377,14.808895,0.02990100000000062,97923.14638306208,100866.19176615957,0
"192.168.0.101",65487,"208.67.222.222",443,2,648,1,430,1,218,15.34942,0.03011199999999903,114240.17003188467,57917.10945802525,0
"192.168.0.101",49240,"208.67.222.222",443,2,648,1,302,1,346,16.83123,0.107880999999999,22395.046393711797,25657.90083517974,0
"192.168.0.101",53891,"192.168.0.1",53,2,158,1,79,1,79,17.088824,0.0022800000000025022,0,0,0
"192.168.0.101",59217,"192.168.0.1",53,2,165,1,88,1,77,17.096435,0.034393999999998925,20468.686398791127,17910.100598942234,0
"192.168.0.101",61359,"208.67.222.222",443,2,520,1,238,1,282,17.118181,0.03592300000000037,53002.25482281492,62800.99100854541,0
"192.168.0.101",55648,"208.67.222.222",443,2,904,1,238,1,666,17.139005,0.03648600000000002,52184.399495696955,146028.61371484946,0
"192.168.0.101",54083,"208.67.222.222",443,2,648,1,302,1,346,17.369444,0.10573999999999728,22848.49631170855,26177.41630414291,0
"192.168.0.101",56349,"208.67.222.222",443,2,629,1,238,1,391,18.099375,0.08938800000000313,21300.398263748302,34993.51143330078,0
"192.168.0.101",50942,"208.67.222.222",443,2,456,1,238,1,218,18.362431,0.030101999999999407,63251.611188626586,57936.349744204184,0
"192.168.0.101",51472,"208.67.222.222",443,2,776,1,430,1,346,19.245709,0.057710999999997625,59607.3538840107,47963.12661364582,0
"192.168.0.101",57160,"208.67.222.222",443,2,840,1,430,1,410,23.418065,0.10799200000000297,31854.2114230675,30372.620194087613,0
"192.168.0.101",53393,"208.67.222.222",443,2,648,1,366,1,282,23.983093,0.030173000000001338,97040.4003579316,74768.83306266861,0
"192.168.0.101",51991,"208.67.222.222",443,2,840,1,430,1,410,25.053664,0.033362000000000336,103111.32426113439,98315.44871410487,0
"192.168.0.101",62992,"208.67.222.222",443,2,712,1,366,1,346,25.277217,0.1145700000000005,25556.42838439371,24159.902243170007,0
"192.168.0.101",63956,"192.168.0.1",53,2,158,1,79,1,79,27.254493,0.0025049999999993133,0,0,0
"192.168.0.101",57549,"192.168.0.1",53,2,165,1,88,1,77,27.274045,0.03672899999999757,19167.415393831758,16771.488469602788,0
"192.168.0.101",56150,"208.67.222.222",443,2,968,1,302,1,666,27.318241,0.033799999999999386,71479.2899408297,157633.1360946774,0
"192.168.0.101",57621,"192.168.0.255",57621,3,258,3,258,0,0,27.596021,60.006784,34.396110946388994,0,0
"192.168.0.101",55896,"208.67.222.222",443,2,776,1,430,1,346,35.811594,0.11186500000000166,30751.352076162777,24744.11120547051,0
"192.168.0.101",51165,"192.168.0.1",53,2,158,1,79,1,79,37.439895,0.009062000000000126,69741.77885676354,69741.77885676354,0
"192.168.0.101",62680,"192.168.0.1",53,2,165,1,88,1,77,37.455953,0.02995899999999807,23498.781668281496,20561.433959746308,0
"192.168.0.101",56250,"208.67.222.222",443,2,840,1,238,1,602,37.494381,0.03056200000000331,62299.58772330979,157581.31012366596,0
"192.168.0.101",63748,"208.67.222.222",443,2,776,1,430,1,346,44.834699,0.1881350000000026,18284.742339277393,14712.839184627856,0
"192.168.0.101",62195,"239.255.255.250",1900,4,864,4,864,0,0,46.717041,3.000622,2303.5224030217737,0,0
